entidad,anio,viviendas_registradas,indice_valor_uma,inpc_nacional,tasa_objetivo,cetes_91d,inflacion_subyacente_anual
AGUASCALIENTES,2016,7511,170.520237,90.12791667,4.358076923,2.350833333,4.16297619
AGUASCALIENTES,2017,5118,176.4274131,95.573,6.883076923,10.29916667,6.711513944
AGUASCALIENTES,2018,7003,177.4726546,100.2553333,7.841320755,8.175833333,7.694342629
AGUASCALIENTES,2019,6810,178.1283407,103.9006667,7.917884615,3.4825,8.104302789
AGUASCALIENTES,2020,5742,182.233194,107.43,5.287692308,2.300833333,5.498134921
AGUASCALIENTES,2021,6644,180.0636665,113.5419167,4.640769231,8.849166667,4.40541502
AGUASCALIENTES,2022,4887,191.5322284,122.5075,8.278269231,8.866666667,7.656547619
AGUASCALIENTES,2023,5531,190.2503164,129.2796667,11.35519231,1.993333333,11.1487251
AGUASCALIENTES,2024,2682,189.4082774,135.3845833,10.85283019,6.538333333,10.89749004
AGUASCALIENTES,2025,4971,189.7135385,140.5421667,8.154038462,2.839166667,8.410278884
BAJA CALIFORNIA,2016,8626,182.284141,90.12791667,4.358076923,2.350833333,4.16297619
BAJA CALIFORNIA,2017,6363,187.5289958,95.573,6.883076923,10.29916667,6.711513944
BAJA CALIFORNIA,2018,7596,190.5448262,100.2553333,7.841320755,8.175833333,7.694342629
BAJA CALIFORNIA,2019,5992,194.3296061,103.9006667,7.917884615,3.4825,8.104302789
BAJA CALIFORNIA,2020,6228,197.4400289,107.43,5.287692308,2.300833333,5.498134921
BAJA CALIFORNIA,2021,9659,198.9715809,113.5419167,4.640769231,8.849166667,4.40541502
BAJA CALIFORNIA,2022,4678,198.488136,122.5075,8.278269231,8.866666667,7.656547619
BAJA CALIFORNIA,2023,8944,199.80786,129.2796667,11.35519231,1.993333333,11.1487251
BAJA CALIFORNIA,2024,5757,199.9878409,135.3845833,10.85283019,6.538333333,10.89749004
BAJA CALIFORNIA,2025,8019,199.8603317,140.5421667,8.154038462,2.839166667,8.410278884
BAJA CALIFORNIA SUR,2016,2974,185.6682919,90.12791667,4.358076923,2.350833333,4.16297619
BAJA CALIFORNIA SUR,2017,1560,190.3740385,95.573,6.883076923,10.29916667,6.711513944
BAJA CALIFORNIA SUR,2018,2122,191.4196513,100.2553333,7.841320755,8.175833333,7.694342629
BAJA CALIFORNIA SUR,2019,1574,196.3262389,103.9006667,7.917884615,3.4825,8.104302789
BAJA CALIFORNIA SUR,2020,1220,197.9110656,107.43,5.287692308,2.300833333,5.498134921
BAJA CALIFORNIA SUR,2021,1345,198.0498141,113.5419167,4.640769231,8.849166667,4.40541502
BAJA CALIFORNIA SUR,2022,812,198.0424877,122.5075,8.278269231,8.866666667,7.656547619
BAJA CALIFORNIA SUR,2023,1079,191.42076,129.2796667,11.35519231,1.993333333,11.1487251
BAJA CALIFORNIA SUR,2024,990,192.9762626,135.3845833,10.85283019,6.538333333,10.89749004
BAJA CALIFORNIA SUR,2025,776,189.0180412,140.5421667,8.154038462,2.839166667,8.410278884
CAMPECHE,2016,785,187.2834395,90.12791667,4.358076923,2.350833333,4.16297619
CAMPECHE,2017,661,184.2564297,95.573,6.883076923,10.29916667,6.711513944
CAMPECHE,2018,211,162.2938389,100.2553333,7.841320755,8.175833333,7.694342629
CAMPECHE,2019,118,148.8983051,103.9006667,7.917884615,3.4825,8.104302789
CAMPECHE,2020,151,182.6291391,107.43,5.287692308,2.300833333,5.498134921
CAMPECHE,2021,85,194.0882353,113.5419167,4.640769231,8.849166667,4.40541502
CAMPECHE,2022,142,200,122.5075,8.278269231,8.866666667,7.656547619
CAMPECHE,2023,203,118.3004926,129.2796667,11.35519231,1.993333333,11.1487251
CAMPECHE,2024,175,106.7428571,135.3845833,10.85283019,6.538333333,10.89749004
CAMPECHE,2025,32,200,140.5421667,8.154038462,2.839166667,8.410278884
CHIAPAS,2016,2597,187.5618021,90.12791667,4.358076923,2.350833333,4.16297619
CHIAPAS,2017,2315,168.3563715,95.573,6.883076923,10.29916667,6.711513944
CHIAPAS,2018,1499,177.3092061,100.2553333,7.841320755,8.175833333,7.694342629
CHIAPAS,2019,878,195.0546697,103.9006667,7.917884615,3.4825,8.104302789
CHIAPAS,2020,1100,189.2954545,107.43,5.287692308,2.300833333,5.498134921
CHIAPAS,2021,855,186.1473684,113.5419167,4.640769231,8.849166667,4.40541502
CHIAPAS,2022,1102,194.0585299,122.5075,8.278269231,8.866666667,7.656547619
CHIAPAS,2023,1701,194.8877131,129.2796667,11.35519231,1.993333333,11.1487251
CHIAPAS,2024,1112,192.732464,135.3845833,10.85283019,6.538333333,10.89749004
CHIAPAS,2025,14253,168.0083842,140.5421667,8.154038462,2.839166667,8.410278884
CHIHUAHUA,2016,9211,170.3569102,90.12791667,4.358076923,2.350833333,4.16297619
CHIHUAHUA,2017,7479,177.7966974,95.573,6.883076923,10.29916667,6.711513944
CHIHUAHUA,2018,9481,181.9399325,100.2553333,7.841320755,8.175833333,7.694342629
CHIHUAHUA,2019,5361,184.7427719,103.9006667,7.917884615,3.4825,8.104302789
CHIHUAHUA,2020,6574,190.5143748,107.43,5.287692308,2.300833333,5.498134921
CHIHUAHUA,2021,7828,194.7950307,113.5419167,4.640769231,8.849166667,4.40541502
CHIHUAHUA,2022,3761,189.2156341,122.5075,8.278269231,8.866666667,7.656547619
CHIHUAHUA,2023,6256,194.0832001,129.2796667,11.35519231,1.993333333,11.1487251
CHIHUAHUA,2024,6382,195.5391727,135.3845833,10.85283019,6.538333333,10.89749004
CHIHUAHUA,2025,8174,190.8947884,140.5421667,8.154038462,2.839166667,8.410278884
CIUDAD DE MEXICO,2016,8961,199.4339917,90.12791667,4.358076923,2.350833333,4.16297619
