cve_ent,entidad,anio,trimestre,periodo,fecha_cierre,indice_shf,var_anual_pct
01,Aguascalientes,2005,1,2005T1,2005-03-31,47.05,
01,Aguascalientes,2005,2,2005T2,2005-06-30,48.86,
01,Aguascalientes,2005,3,2005T3,2005-09-30,50.17,
01,Aguascalientes,2005,4,2005T4,2005-12-31,50.2,
01,Aguascalientes,2006,1,2006T1,2006-03-31,50.95,8.29
01,Aguascalientes,2006,2,2006T2,2006-06-30,52.6,7.65
01,Aguascalientes,2006,3,2006T3,2006-09-30,53.56,6.76
01,Aguascalientes,2006,4,2006T4,2006-12-31,53.75,7.07
01,Aguascalientes,2007,1,2007T1,2007-03-31,54.1,6.18
01,Aguascalientes,2007,2,2007T2,2007-06-30,55.82,6.12
01,Aguascalientes,2007,3,2007T3,2007-09-30,57.12,6.65
01,Aguascalientes,2007,4,2007T4,2007-12-31,57.39,6.77
01,Aguascalientes,2008,1,2008T1,2008-03-31,57.42,6.14
01,Aguascalientes,2008,2,2008T2,2008-06-30,59.78,7.09
01,Aguascalientes,2008,3,2008T3,2008-09-30,61.92,8.4
01,Aguascalientes,2008,4,2008T4,2008-12-31,63.64,10.89
01,Aguascalientes,2009,1,2009T1,2009-03-31,65.37,13.85
01,Aguascalientes,2009,2,2009T2,2009-06-30,65.78,10.04
01,Aguascalientes,2009,3,2009T3,2009-09-30,65.93,6.48
01,Aguascalientes,2009,4,2009T4,2009-12-31,66.09,3.85
01,Aguascalientes,2010,1,2010T1,2010-03-31,66.47,1.68
01,Aguascalientes,2010,2,2010T2,2010-06-30,67.41,2.48
01,Aguascalientes,2010,3,2010T3,2010-09-30,68.37,3.7
01,Aguascalientes,2010,4,2010T4,2010-12-31,68.89,4.24
01,Aguascalientes,2011,1,2011T1,2011-03-31,69.58,4.68
01,Aguascalientes,2011,2,2011T2,2011-06-30,70.06,3.93
01,Aguascalientes,2011,3,2011T3,2011-09-30,70.48,3.09
01,Aguascalientes,2011,4,2011T4,2011-12-31,70.77,2.73
01,Aguascalientes,2012,1,2012T1,2012-03-31,71.05,2.11
01,Aguascalientes,2012,2,2012T2,2012-06-30,71.69,2.33
01,Aguascalientes,2012,3,2012T3,2012-09-30,72.26,2.53
01,Aguascalientes,2012,4,2012T4,2012-12-31,72.88,2.98
01,Aguascalientes,2013,1,2013T1,2013-03-31,74.57,4.95
01,Aguascalientes,2013,2,2013T2,2013-06-30,76.18,6.26
01,Aguascalientes,2013,3,2013T3,2013-09-30,77.61,7.4
01,Aguascalientes,2013,4,2013T4,2013-12-31,78.36,7.52
01,Aguascalientes,2014,1,2014T1,2014-03-31,79.39,6.46
01,Aguascalientes,2014,2,2014T2,2014-06-30,79.81,4.77
01,Aguascalientes,2014,3,2014T3,2014-09-30,80.3,3.47
01,Aguascalientes,2014,4,2014T4,2014-12-31,81.47,3.97
01,Aguascalientes,2015,1,2015T1,2015-03-31,82.88,4.4
01,Aguascalientes,2015,2,2015T2,2015-06-30,86.0,7.76
01,Aguascalientes,2015,3,2015T3,2015-09-30,88.72,10.49
01,Aguascalientes,2015,4,2015T4,2015-12-31,89.78,10.2
01,Aguascalientes,2016,1,2016T1,2016-03-31,91.0,9.8
01,Aguascalientes,2016,2,2016T2,2016-06-30,92.55,7.62
